workItemId,nation,material
021dbf11-1bf6-4596-9de7-24cfd9629fd9,England,fibre
040b178a-ab4a-405d-8738-e8e4b5a4a7f5,England,fibre
056ae774-8a7e-42dd-9ed6-b79465d43bbf,England,steel
05bea024-a537-4973-a998-c063060b2316,England,steel
0aa66f12-84bc-45ce-afbd-34b914de3ff7,England,plastic
0c77d584-09b4-4481-8171-250d081105ab,England,glass
0de2b334-4c17-4cd4-816b-73cc5d64f8b1,England,paper
1154e1de-400f-45e1-aea5-8367f575af48,England,glass
1268312f-a6f1-4413-93cd-21f6b848ce80,England,glass
1285b242-4f53-4c72-a4fe-d3945e59b395,England,glass
13256f10-937a-4802-8803-dd14570fdecf,England,steel
157a9bc8-daad-4340-b248-f946d6b020c1,England,steel
1ca596fe-9e2d-460b-a3fb-4b6f34e24a76,England,glass
1cb16084-9de2-42a8-adb3-fa1e02eb9f37,England,steel
1d4bb4da-d6b4-4113-ba78-c7c4a57498ff,England,aluminium
209f9e1c-0187-4e5e-b5d8-26bd4c458ec4,England,plastic
20f2f7df-1745-487f-9fcf-707684418877,England,plastic
2148cd20-96cc-4538-bd7d-f76b81356737,England,paper
2197d29a-a3e9-453a-a106-6c88409e99d9,England,fibre
22361059-be0d-47cd-b73f-8d127cecc966,England,paper
230518fc-7d27-487a-b0b2-589e9855e23e,England,steel
266229b9-f438-409a-8ca3-fdaa2f7f4826,England,wood
26dfa669-3dde-4af7-ad8c-a7c690192039,England,steel
2914d588-fef6-4a8c-be39-dba1c6cace66,England,paper
2a458ed8-25c5-4fab-8136-fa82942c0c48,England,plastic
2a9dd290-a09f-4821-9310-be7c7e0efd3c,England,fibre
2b519033-7a9e-4523-ad0e-bb4a227ca97d,England,glass
2d0439d5-859e-42a4-b82c-c7cbf92c02aa,England,fibre
2e9aa2a2-f0a2-4f1b-bc8c-c64304463db8,England,aluminium
2f395e88-2fbe-4de9-90f6-84878499a72a,England,aluminium
31baeee4-aa41-402e-8c15-ca8802856c87,England,glass
328066ab-efbd-4bd4-90b1-f65cc4d48c5a,England,aluminium
331b0aba-6fd7-4ef5-b192-18391b400e53,England,fibre
334733cc-e313-4158-af54-fcef8d8a5dfb,England,plastic
3350d9c8-003a-4deb-8d87-3b39533caaa3,England,wood
37751ad1-924e-4541-ba96-f698510c83f9,England,plastic
38830033-c836-4a8e-bb34-b79dac382820,England,aluminium
38fbf8d5-76cf-4de5-9fa3-7f8f021db368,England,plastic
392c31e2-2730-441e-b818-646ac943d776,England,plastic
3a03ec9d-7674-4bbf-a975-0ab0798fff67,England,aluminium
3c8b3313-739c-4055-821f-082cde4bcc73,England,steel
3fd2b419-cd7c-400e-a74c-8f8c7c607d9f,England,paper
401050e1-f8e0-4e89-8a47-b3a0ae6f539b,England,glass
