workItemId,nation,material
da34a599-ef6e-45a3-b358-aae81e4ce886,England,aluminium
dbd3047f-218f-427a-bccf-7bdfb1b6e6ce,England,plastic
ddb0a6af-860c-4246-b828-cfd4ee229400,England,glass
de1bedc3-ceff-4e43-a1d0-3f646916400b,England,fibre
df98ac12-8309-4370-85b9-4f20511cd143,England,steel
e0960c66-216e-40c6-a02e-8efff8ddffea,England,glass
e4fabe12-db7e-40cb-b4b3-44ac0c4a965b,England,plastic
e515a562-bcb3-46ae-8410-4702a04b73e0,England,wood
e57b1ce4-594d-44fd-b074-3d9c9140c9fb,England,aluminium
ec32a649-b0d1-4019-9ba0-71ab301f198e,England,paper
f1075d3f-1ba0-4175-bcea-3e190ff3b846,England,fibre
f136c9e9-a44f-4efe-bd35-a9398beb006a,England,paper
f1cc9aa7-9b25-4bc3-9e75-83759a09dc8c,England,aluminium
f37977be-0908-4a2d-b5cc-085aca3b9a67,England,plastic
f3f1f971-18e5-480c-9a18-7a697abd9d4a,England,wood
f414785e-e291-4bde-8e5b-84e9080b50a2,England,fibre
f507a322-123b-47dc-bc79-9363bca0d799,England,paper
f6d24e3b-73d0-458d-b215-00916d38b2da,England,aluminium
f940744a-289a-4456-8715-506091b23420,England,aluminium
f943f80d-c990-43ff-9fda-f36329eee77c,England,steel
fc6d38a5-4665-4093-a74c-00a9bef67a69,England,steel
fc9ec192-56e0-4020-8d4d-786368567011,England,plastic
ff361e6c-097a-4e0b-b4ab-7b4fa33069a1,England,fibre
ff6fc4d4-5aec-4d41-8f06-2b60692dd011,England,wood
