workItemId,nation,material
40962556-5c19-4129-9158-bbcff4a16884,England,aluminium
416d0fc4-c7d9-4f10-85f2-12e012a32da2,England,glass
4193afde-9312-40dc-8612-8f91a8653bd5,England,glass
41b12f3f-6c2a-4c39-b37a-67d6ca765e39,England,fibre
435e00b7-20d4-4cbb-902f-77abcbc0dc9f,England,fibre
44ab4f7b-ab69-44ec-b8ce-f585ed2e52a7,England,fibre
44c53a07-81bc-40b6-a634-5764b8aefcb0,England,paper
458f63b8-0bb7-4df9-8231-6146e7fb5864,England,wood
460f0645-18d4-4344-ac31-a335ea4805bf,England,wood
492d3219-acea-40fa-958d-831319adff13,England,plastic
4b3575da-7836-4c1f-84f7-a7d2a3bb5584,England,paper
4b39d4fa-971c-4410-9a33-e8f13de2acd2,England,glass
4c29acd9-10e8-4c52-97ae-869431dfa592,England,aluminium
4ccd1474-5261-42c6-a404-700e121d22ae,England,glass
4dc3e75c-5a5a-4aa9-8fa2-a1c90e5bbb5c,England,aluminium
4e914389-1d3f-42eb-b448-eedd151b8cf0,England,paper
4fb0d70d-8019-4bbb-af13-becc76b452ce,England,wood
4fda00b6-73d0-4c7e-9b92-d002e10c44fd,England,glass
536b51a7-5b6b-485b-89c2-77c671a4c26d,England,steel
554e9390-3690-41dc-9c1c-6641fdd9a813,England,plastic
56ded078-770a-4fb2-a79f-e02e938a0e15,England,aluminium
5b7df23d-aeb5-4637-be53-482dfa096cb5,England,aluminium
5cae2905-bcf7-4891-ad5f-5f8de3e5a80c,England,glass
5ddb788c-99bc-4b01-bdb3-35db2dd6b487,England,fibre
5f0572a9-b79f-4797-80d6-b74fb27c43b9,England,aluminium
5f83236e-8ac9-4f8c-a51f-0edcfe393e5f,England,plastic
60600c7e-b6b5-46af-a559-7ebfa1f57e30,England,glass
6399f885-c3a2-4b14-adc9-fb8085e1ae3a,England,wood
66148523-f3f4-4158-9235-86348acaf63d,England,wood
