material,year
Aluminium,5110
Fibre,5110
Glass,5110
Paper,5110
Plastic,5110
Steel,5110
Wood,5110
Aluminium,5111
Fibre,5111
Glass,5111
Paper,5111
Plastic,5111
Steel,5111
Wood,5111
Aluminium,5112
Fibre,5112
Glass,5112
Paper,5112
Plastic,5112
Steel,5112
Wood,5112
Aluminium,5113
Fibre,5113
Glass,5113
Paper,5113
Plastic,5113
Steel,5113
Wood,5113
Aluminium,5114
Fibre,5114
Glass,5114
Paper,5114
Plastic,5114
Steel,5114
Wood,5114
Aluminium,5115
Fibre,5115
Glass,5115
Paper,5115
Plastic,5115
Steel,5115
Wood,5115
Aluminium,5116
Fibre,5116
Glass,5116
Paper,5116
Plastic,5116
Steel,5116
Wood,5116
Aluminium,5117
Fibre,5117
Glass,5117
Paper,5117
Plastic,5117
Steel,5117
Wood,5117
Aluminium,5118
Fibre,5118
Glass,5118
Paper,5118
Plastic,5118
Steel,5118
Wood,5118
Aluminium,5119
Fibre,5119
Glass,5119
Paper,5119
Plastic,5119
Steel,5119
Wood,5119
Aluminium,5120
Fibre,5120
Glass,5120
Paper,5120
Plastic,5120
Steel,5120
Wood,5120
Aluminium,5121
Fibre,5121
Glass,5121
Paper,5121
Plastic,5121
Steel,5121
Wood,5121
Aluminium,5122
Fibre,5122
Glass,5122
Paper,5122
Plastic,5122
Steel,5122
Wood,5122
Aluminium,5123
Fibre,5123
Glass,5123
Paper,5123
Plastic,5123
Steel,5123
Wood,5123
Aluminium,5124
Fibre,5124
