material,year
Aluminium,6421
Fibre,6421
Glass,6421
Paper,6421
Plastic,6421
Steel,6421
Wood,6421
Aluminium,6422
Fibre,6422
Glass,6422
Paper,6422
Plastic,6422
Steel,6422
Wood,6422
Aluminium,6423
Fibre,6423
Glass,6423
Paper,6423
Plastic,6423
Steel,6423
Wood,6423
Aluminium,6424
Fibre,6424
Glass,6424
Paper,6424
Plastic,6424
Steel,6424
Wood,6424
Aluminium,6425
Fibre,6425
Glass,6425
Paper,6425
Plastic,6425
Steel,6425
Wood,6425
Aluminium,6426
Fibre,6426
Glass,6426
Paper,6426
Plastic,6426
Steel,6426
Wood,6426
Aluminium,6427
Fibre,6427
Glass,6427
Paper,6427
Plastic,6427
Steel,6427
Wood,6427
Aluminium,6428
Fibre,6428
Glass,6428
Paper,6428
Plastic,6428
Steel,6428
Wood,6428
Aluminium,6429
Fibre,6429
Glass,6429
Paper,6429
Plastic,6429
Steel,6429
Wood,6429
Aluminium,6430
Fibre,6430
Glass,6430
Paper,6430
Plastic,6430
Steel,6430
Wood,6430
Aluminium,6431
Fibre,6431
Glass,6431
Paper,6431
Plastic,6431
Steel,6431
Wood,6431
Aluminium,6432
Fibre,6432
Glass,6432
Paper,6432
Plastic,6432
Steel,6432
Wood,6432
Aluminium,6433
Fibre,6433
Glass,6433
Paper,6433
Plastic,6433
Steel,6433
Wood,6433
Aluminium,6434
Fibre,6434
Glass,6434
Paper,6434
Plastic,6434
Steel,6434
Wood,6434
Aluminium,6435
Fibre,6435
